date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:00	12595/12595	---M-Z	200	added ('OK')	text/html	etag:W/%22621a9405-3133%22	https://hiukim.github.io/mind-ar-js-doc/samples/advanced.html	C:/Mis%20lugares%20Web/realidad/hiukim.github.io/mind-ar-js-doc/samples/advanced.html	(from )
18:39:01	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f7b904d-239b%22	https://hiukim.github.io/robots.txt		(from )
18:39:02	1127492/1127492	---M-Z	200	added ('OK')	application/javascript	etag:W/%22113444-pG3MjzMUU1Dbmef89xoMci3GGZ4%22	https://cdn.jsdelivr.net/gh/hiukim/mind-ar-js@1.0.0/dist/mindar-image.prod.js	C:/Mis%20lugares%20Web/realidad/cdn.jsdelivr.net/gh/hiukim/mind-ar-js@1.0.0/dist/mindar-image.prod.js	(from https://hiukim.github.io/mind-ar-js-doc/samples/advanced.html)
18:39:02	6110/6110	---M-Z	200	added ('OK')	application/javascript	etag:W/%2217de-pJ9EoZrJW+jHBGAjqJoE8a9DNwQ%22	https://cdn.jsdelivr.net/gh/hiukim/mind-ar-js@1.0.0/dist/mindar-image-aframe.prod.js	C:/Mis%20lugares%20Web/realidad/cdn.jsdelivr.net/gh/hiukim/mind-ar-js@1.0.0/dist/mindar-image-aframe.prod.js	(from https://hiukim.github.io/mind-ar-js-doc/samples/advanced.html)
18:39:03	1322836/1322836	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261fca492-142f54%22	https://aframe.io/releases/1.2.0/aframe.min.js	C:/Mis%20lugares%20Web/realidad/aframe.io/releases/1.2.0/aframe.min.js	(from https://hiukim.github.io/mind-ar-js-doc/samples/advanced.html)
18:39:03	61689/61689	---M--	200	added ('OK')	image/png	etag:%22621a9405-f0f9%22	https://hiukim.github.io/mind-ar-js-doc/samples/assets/card-example/card.png	C:/Mis%20lugares%20Web/realidad/hiukim.github.io/mind-ar-js-doc/samples/assets/card-example/card.png	(from https://hiukim.github.io/mind-ar-js-doc/samples/advanced.html)
18:39:03	33881/33881	---M--	200	added ('OK')	image/png	etag:%22621a9405-8459%22	https://hiukim.github.io/mind-ar-js-doc/samples/assets/card-example/icons/web.png	C:/Mis%20lugares%20Web/realidad/hiukim.github.io/mind-ar-js-doc/samples/assets/card-example/icons/web.png	(from https://hiukim.github.io/mind-ar-js-doc/samples/advanced.html)
18:39:03	20928/20928	---M--	200	added ('OK')	image/png	etag:%22621a9405-51c0%22	https://hiukim.github.io/mind-ar-js-doc/samples/assets/card-example/icons/location.png	C:/Mis%20lugares%20Web/realidad/hiukim.github.io/mind-ar-js-doc/samples/assets/card-example/icons/location.png	(from https://hiukim.github.io/mind-ar-js-doc/samples/advanced.html)
18:39:03	19211/19211	---M--	200	added ('OK')	image/png	etag:%22621a9405-4b0b%22	https://hiukim.github.io/mind-ar-js-doc/samples/assets/card-example/icons/profile.png	C:/Mis%20lugares%20Web/realidad/hiukim.github.io/mind-ar-js-doc/samples/assets/card-example/icons/profile.png	(from https://hiukim.github.io/mind-ar-js-doc/samples/advanced.html)
18:39:03	18941/18941	---M--	200	added ('OK')	image/png	etag:%22621a9405-49fd%22	https://hiukim.github.io/mind-ar-js-doc/samples/assets/card-example/icons/phone.png	C:/Mis%20lugares%20Web/realidad/hiukim.github.io/mind-ar-js-doc/samples/assets/card-example/icons/phone.png	(from https://hiukim.github.io/mind-ar-js-doc/samples/advanced.html)
18:39:04	21926/21926	---M--	200	added ('OK')	image/png	etag:%22621a9405-55a6%22	https://hiukim.github.io/mind-ar-js-doc/samples/assets/card-example/icons/email.png	C:/Mis%20lugares%20Web/realidad/hiukim.github.io/mind-ar-js-doc/samples/assets/card-example/icons/email.png	(from https://hiukim.github.io/mind-ar-js-doc/samples/advanced.html)
18:39:04	9196/9196	---M--	200	added ('OK')	image/png	etag:%22621a9405-23ec%22	https://hiukim.github.io/mind-ar-js-doc/samples/assets/card-example/icons/play.png	C:/Mis%20lugares%20Web/realidad/hiukim.github.io/mind-ar-js-doc/samples/assets/card-example/icons/play.png	(from https://hiukim.github.io/mind-ar-js-doc/samples/advanced.html)
18:39:04	12310/12310	---M--	200	added ('OK')	image/png	etag:%22621a9405-3016%22	https://hiukim.github.io/mind-ar-js-doc/samples/assets/card-example/icons/left.png	C:/Mis%20lugares%20Web/realidad/hiukim.github.io/mind-ar-js-doc/samples/assets/card-example/icons/left.png	(from https://hiukim.github.io/mind-ar-js-doc/samples/advanced.html)
