date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:42:11	4476/4476	---MCZ	200	added ('OK')	text/html	etag:W/%225fc084f7-117c%22	https://github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/index.html	C:/Mis%20lugares%20Web/realidad/github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/index.html	(from )
23:42:14	546/546	---MCZ	200	added ('OK')	text/plain	etag:W/%2261a83d2c-5d6%22	https://github.uconn.edu/robots.txt		(from )
23:42:18	2199/2199	---M-Z	200	added ('OK')	text/css	etag:%225eb03f2b-897%22	https://cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	C:/Mis%20lugares%20Web/realidad/cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	(from https://github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/index.html)
23:42:24	3420/3420	---MCZ	200	added ('OK')	text/css	etag:W/%225fc084f7-d5c%22	https://github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/style.css	C:/Mis%20lugares%20Web/realidad/github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/style.css	(from https://github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/index.html)
23:42:28	1108413/1108413	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261fca491-10e9bd%22	https://aframe.io/releases/0.7.0/aframe.min.js	C:/Mis%20lugares%20Web/realidad/aframe.io/releases/0.7.0/aframe.min.js	(from https://github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/index.html)
23:42:30	214/214	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2031%20Mar%202022%2005:42:30%20GMT	https://cdn.rawgit.com/jeromeetienne/AR.js/1.5.0/aframe/build/aframe-ar.js	C:/Mis%20lugares%20Web/realidad/cdn.rawgit.com/jeromeetienne/AR.js/1.5.0/aframe/build/aframe-ar.4.delayed	(from https://github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/index.html)
23:42:35	1101496/1101496	---M-Z	200	added ('OK')	application/javascript	etag:W/%2210ceb8-/VVgeM33xN8HPgg9ZT1SreI9VVE%22	https://cdn.jsdelivr.net/gh/jeromeetienne/AR.js@1.5.0/aframe/build/aframe-ar.js	C:/Mis%20lugares%20Web/realidad/cdn.jsdelivr.net/gh/jeromeetienne/AR.js@1.5.0/aframe/build/aframe-ar.js	(from https://github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/index.html)
23:42:38	71707/71707	---M--	200	added ('OK')	application/x-tgif	etag:%225fc084f7-1181b%22	https://github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/imgs/charmander.obj	C:/Mis%20lugares%20Web/realidad/github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/imgs/charmander.tgif	(from https://github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/index.html)
23:42:41	222/222	---M--	200	added ('OK')	application/octet-stream	etag:%225fc084f7-de%22	https://github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/imgs/charmander.mtl	C:/Mis%20lugares%20Web/realidad/github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/imgs/charmander.mtl	(from https://github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/index.html)
23:42:45	76192/76192	---M--	200	added ('OK')	application/x-tgif	etag:%225fc084f7-129a0%22	https://github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/imgs/pikachu.obj	C:/Mis%20lugares%20Web/realidad/github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/imgs/pikachu.tgif	(from https://github.uconn.edu/pages/yuh19027/dmd3475_scripting/final-project/ar-pokemon/index.html)
